4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
4.999999945584401	0.0	1.0	0.0	0.0	0.0	5.000000000918146	0.0	0.0	0.0
3.0	1.0	3.0	2.0	1.0	1.0	5.0	0.0	0.0	0.0
2.0	5.0	5.0	3.0	0.0	1.0	3.0	3.0	0.0	2.0
0.0	5.0	5.0	5.0	4.0	2.0	1.0	3.0	1.0	2.0
1.0	5.0	5.0	5.0	4.0	5.0	0.0	2.0	1.0	3.0
3.0	4.0	4.0	5.0	3.0	4.0	4.0	0.0	3.00000000181971	0.0
5.0	4.0	5.0	5.0	5.0	5.0	5.0	0.0	5.0	3.0000000101498405
5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0
5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
