group_name,mean_count,prop_infeasible
aM 3 YM 15 ,3.7704000000000004,0.408
aM 3 YM 20 ,3.816,0.416
aM 3 YM 25 ,3.8096000000000005,0.432
aM 1 serM 5 ,3.6,0.36
aM 1 serM 10 ,3.7912,0.36
aM 1 serM 15 ,3.8263999999999996,0.368
aM 1 serM 20 ,3.9168,0.36
aM 1 serM 25 ,3.9,0.368
aM 2 serM 5 ,3.6816,0.36
aM 2 serM 10 ,4.3552,0.488
aM 2 serM 15 ,4.4144,0.488
aM 2 serM 20 ,4.5168,0.488
aM 2 serM 25 ,4.6903999999999995,0.52
aM 3 serM 5 ,4.0096,0.4
aM 3 serM 10 ,4.8616,0.488
aM 3 serM 15 ,5.2863999999999995,0.568
aM 3 serM 20 ,5.542400000000001,0.6
aM 3 serM 25 ,5.5648,0.608
XM 3 YM 5 ,10.0,1.0
XM 3 YM 10 ,10.0,1.0
XM 3 YM 15 ,10.0,1.0
XM 3 YM 20 ,10.0,1.0
XM 3 YM 25 ,10.0,1.0
XM 6 YM 5 ,10.0,1.0
XM 6 YM 10 ,1.3373333333333333,0.16
XM 6 YM 15 ,1.2240000000000002,0.13333333333333333
XM 6 YM 20 ,1.2666666666666666,0.17333333333333334
XM 6 YM 25 ,1.1773333333333331,0.14666666666666667
XM 9 YM 5 ,10.0,1.0
XM 9 YM 10 ,1.2853333333333334,0.16
XM 9 YM 15 ,1.1426666666666667,0.14666666666666667
XM 9 YM 20 ,1.1533333333333333,0.13333333333333333
XM 9 YM 25 ,1.1733333333333331,0.14666666666666667
XM 12 YM 5 ,10.0,1.0
XM 12 YM 10 ,1.3213333333333335,0.16
XM 12 YM 15 ,1.2893333333333334,0.14666666666666667
XM 12 YM 20 ,1.2600000000000002,0.13333333333333333
XM 12 YM 25 ,1.3519999999999999,0.16
XM 15 YM 5 ,10.0,1.0
XM 15 YM 10 ,1.3106666666666666,0.12
XM 15 YM 15 ,1.1733333333333331,0.14666666666666667
XM 15 YM 20 ,1.2613333333333332,0.16
XM 15 YM 25 ,1.2013333333333334,0.14666666666666667
XM 3 serM 5 ,10.0,1.0
XM 3 serM 10 ,10.0,1.0
XM 3 serM 15 ,10.0,1.0
XM 3 serM 20 ,10.0,1.0
XM 3 serM 25 ,10.0,1.0
XM 6 serM 5 ,2.1973333333333334,0.21333333333333335
XM 6 serM 10 ,2.9346666666666668,0.30666666666666664
XM 6 serM 15 ,3.1079999999999997,0.36
XM 6 serM 20 ,3.392,0.3466666666666667
XM 6 serM 25 ,3.3733333333333335,0.38666666666666666
XM 9 serM 5 ,2.158666666666667,0.2
XM 9 serM 10 ,2.876,0.30666666666666664
XM 9 serM 15 ,3.1519999999999997,0.3466666666666667
XM 9 serM 20 ,3.257333333333333,0.36
XM 9 serM 25 ,3.3106666666666658,0.37333333333333335
XM 12 serM 5 ,2.2413333333333334,0.24
XM 12 serM 10 ,2.9306666666666668,0.30666666666666664
XM 12 serM 15 ,3.206666666666666,0.3333333333333333
XM 12 serM 20 ,3.345333333333334,0.3466666666666667
XM 12 serM 25 ,3.4986666666666664,0.37333333333333335
XM 15 serM 5 ,2.221333333333334,0.21333333333333335
XM 15 serM 10 ,2.9386666666666668,0.30666666666666664
XM 15 serM 15 ,3.078666666666667,0.3333333333333333
XM 15 serM 20 ,3.298666666666666,0.36
XM 15 serM 25 ,3.409333333333332,0.36
YM 5 serM 5 ,10.0,1.0
YM 5 serM 10 ,10.0,1.0
YM 5 serM 15 ,10.0,1.0
YM 5 serM 20 ,10.0,1.0
YM 5 serM 25 ,10.0,1.0
YM 10 serM 5 ,2.1919999999999997,0.21333333333333335
YM 10 serM 10 ,2.9386666666666668,0.30666666666666664
YM 10 serM 15 ,3.121333333333333,0.3333333333333333
YM 10 serM 20 ,3.4280000000000004,0.36
YM 10 serM 25 ,3.574666666666666,0.38666666666666666
YM 15 serM 5 ,2.184,0.22666666666666666
YM 15 serM 10 ,2.896,0.30666666666666664
YM 15 serM 15 ,3.145333333333333,0.3466666666666667
YM 15 serM 20 ,3.2226666666666657,0.3333333333333333
YM 15 serM 25 ,3.381333333333333,0.36
YM 20 serM 5 ,2.2133333333333334,0.21333333333333335
YM 20 serM 10 ,2.9306666666666668,0.30666666666666664
YM 20 serM 15 ,3.0666666666666664,0.3333333333333333
YM 20 serM 20 ,3.330666666666666,0.36
YM 20 serM 25 ,3.3999999999999995,0.38666666666666666
YM 25 serM 5 ,2.2293333333333334,0.21333333333333335
YM 25 serM 10 ,2.9146666666666667,0.30666666666666664
YM 25 serM 15 ,3.2119999999999997,0.36
YM 25 serM 20 ,3.3120000000000003,0.36
YM 25 serM 25 ,3.2359999999999998,0.36
dM 5 aM 1 XM 3 ,10.0,1.0
dM 5 aM 1 XM 6 ,3.052,0.24
dM 5 aM 1 XM 9 ,2.9999999999999996,0.2
dM 5 aM 1 XM 12 ,3.1159999999999997,0.24
