dM 10 ,0.4312499999999999,0.025
dM 15 ,0.046875,0.0
dM 20 ,0.0375,0.0
dM 25 ,0.021875,0.0
aM 1 ,0.07562500000000001,0.0
aM 2 ,0.193125,0.0125
XM 6 ,0.135,0.0125
XM 9 ,0.14562500000000003,0.00625
XM 12 ,0.13125000000000003,0.0
XM 15 ,0.12562500000000001,0.00625
YM 10 ,0.19,0.0125
YM 15 ,0.11687500000000003,0.0
YM 20 ,0.12562500000000001,0.0125
YM 25 ,0.10499999999999998,0.0
serM 5 ,0.0,0.0
serM 10 ,0.0,0.0
serM 15 ,0.059375,0.0
serM 20 ,0.24531250000000007,0.0
serM 25 ,0.36718750000000006,0.03125
dM 10 aM 1 ,0.25875000000000004,0.0
dM 10 aM 2 ,0.6037499999999999,0.05
dM 15 aM 1 ,0.028750000000000005,0.0
dM 15 aM 2 ,0.065,0.0
dM 20 aM 1 ,0.0,0.0
dM 20 aM 2 ,0.075,0.0
dM 25 aM 1 ,0.015000000000000003,0.0
dM 25 aM 2 ,0.028749999999999998,0.0
dM 10 XM 6 ,0.4375,0.05
dM 10 XM 9 ,0.47000000000000003,0.025
dM 10 XM 12 ,0.4074999999999999,0.0
dM 10 XM 15 ,0.41000000000000003,0.025
dM 15 XM 6 ,0.042499999999999996,0.0
dM 15 XM 9 ,0.052500000000000005,0.0
dM 15 XM 12 ,0.05,0.0
dM 15 XM 15 ,0.042499999999999996,0.0
dM 20 XM 6 ,0.04,0.0
dM 20 XM 9 ,0.04,0.0
dM 20 XM 12 ,0.042499999999999996,0.0
dM 20 XM 15 ,0.027500000000000004,0.0
dM 25 XM 6 ,0.02,0.0
dM 25 XM 9 ,0.02,0.0
dM 25 XM 12 ,0.025,0.0
dM 25 XM 15 ,0.0225,0.0
dM 10 YM 10 ,0.51,0.05
dM 10 YM 15 ,0.36,0.0
dM 10 YM 20 ,0.465,0.05
dM 10 YM 25 ,0.39,0.0
dM 15 YM 10 ,0.0925,0.0
dM 15 YM 15 ,0.042499999999999996,0.0
dM 15 YM 20 ,0.025000000000000005,0.0
dM 15 YM 25 ,0.027500000000000004,0.0
dM 20 YM 10 ,0.1,0.0
dM 20 YM 15 ,0.034999999999999996,0.0
dM 20 YM 20 ,0.0125,0.0
dM 20 YM 25 ,0.0025,0.0
dM 25 YM 10 ,0.05750000000000001,0.0
dM 25 YM 15 ,0.030000000000000006,0.0
dM 25 YM 20 ,0.0,0.0
dM 25 YM 25 ,0.0,0.0
dM 10 serM 5 ,0.0,0.0
dM 10 serM 10 ,0.0,0.0
dM 10 serM 15 ,0.23750000000000002,0.0
dM 10 serM 20 ,0.83125,0.0
dM 10 serM 25 ,1.0875000000000001,0.125
dM 15 serM 5 ,0.0,0.0
dM 15 serM 10 ,0.0,0.0
dM 15 serM 15 ,0.0,0.0
dM 15 serM 20 ,0.0375,0.0
dM 15 serM 25 ,0.19687499999999997,0.0
dM 20 serM 5 ,0.0,0.0
dM 20 serM 10 ,0.0,0.0
dM 20 serM 15 ,0.0,0.0
dM 20 serM 20 ,0.071875,0.0
dM 20 serM 25 ,0.115625,0.0
dM 25 serM 5 ,0.0,0.0
dM 25 serM 10 ,0.0,0.0
dM 25 serM 15 ,0.0,0.0
dM 25 serM 20 ,0.040625000000000015,0.0
dM 25 serM 25 ,0.06875,0.0
aM 1 XM 6 ,0.06875,0.0
aM 1 XM 9 ,0.08875,0.0
aM 1 XM 12 ,0.07375000000000001,0.0
aM 1 XM 15 ,0.07125,0.0
aM 2 XM 6 ,0.20125,0.025
aM 2 XM 9 ,0.20249999999999999,0.0125
aM 2 XM 12 ,0.18875,0.0
aM 2 XM 15 ,0.18,0.0125
aM 1 YM 10 ,0.08874999999999997,0.0
aM 1 YM 15 ,0.07999999999999999,0.0
aM 1 YM 20 ,0.06625,0.0
aM 1 YM 25 ,0.0675,0.0
aM 2 YM 10 ,0.29124999999999995,0.025
aM 2 YM 15 ,0.15374999999999997,0.0
aM 2 YM 20 ,0.185,0.025
aM 2 YM 25 ,0.14250000000000002,0.0
aM 1 serM 5 ,0.0,0.0
aM 1 serM 10 ,0.0,0.0
aM 1 serM 15 ,0.0234375,0.0
aM 1 serM 20 ,0.16249999999999998,0.0
aM 1 serM 25 ,0.19218749999999996,0.0
aM 2 serM 5 ,0.0,0.0
aM 2 serM 10 ,0.0,0.0
aM 2 serM 15 ,0.0953125,0.0
aM 2 serM 20 ,0.32812500000000006,0.0
aM 2 serM 25 ,0.5421875000000002,0.0625
XM 6 YM 10 ,0.18,0.025
XM 6 YM 15 ,0.11249999999999998,0.0
XM 6 YM 20 ,0.1375,0.025
