d_os_20_10_1_6_10_9_5_3,d_os,20,6,10,9,5,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,23.051.807.254.120.200,5.637.951.813.530.050,2.805,5.0,34.0,0.0
d_os_20_10_1_6_10_9_10_3,d_os,20,6,10,9,10,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,10.814.977.475.762.900,24.541.193.689.407.400,1.11,9.985,69.4,0.0
d_os_20_10_1_6_10_9_15_3,d_os,20,6,10,9,15,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,53.693.722.955.583.200,9.993.430.738.895.810,0.09,13.72,97.0,0.0
d_os_20_10_1_6_10_9_20_3,d_os,20,6,10,9,20,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,427.108.961.529.605,6.923.974.038.240.120,0.0,15.015,107.6,0.5
d_os_20_10_1_6_10_9_25_3,d_os,20,6,10,9,25,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,4.476.210.605.814.380,7.514.276.514.535.950,0.0,14.705,106.3,0.5
d_os_20_10_1_9_10_9_5_3,d_os,20,9,10,9,5,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,2.011.552.111.716.310,49.038.802.792.907.800,2.51,5.0,37.0,0.0
d_os_20_10_1_9_10_9_10_3,d_os,20,9,10,9,10,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,9.667.382.330.493.330,21.672.205.826.233.300,965.0,9.985,68.7,0.0
d_os_20_10_1_9_10_9_15_3,d_os,20,9,10,9,15,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,479.874.931.133.524,86.306.232.783.381,0.05,13.465,95.6,0.2
d_os_20_10_1_9_10_9_20_3,d_os,20,9,10,9,20,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,4.751.071.421.483.760,845.017.855.370.941,0.0,13.71,99.1,0.7
d_os_20_10_1_9_10_9_25_3,d_os,20,9,10,9,25,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,4.606.639.564.116.410,7.859.098.910.291.030,0.0,14.63,103.0,0.7
d_os_20_10_1_12_10_9_5_3,d_os,20,12,10,9,5,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,20.257.890.903.418.200,49.394.727.258.545.700,2.46,5.0,35.0,0.0
d_os_20_10_1_12_10_9_10_3,d_os,20,12,10,9,10,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,8.589.079.919.926.890,18.976.449.799.817.200,735.0,9.985,71.7,0.0
d_os_20_10_1_12_10_9_15_3,d_os,20,12,10,9,15,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,50.560.293.173.984.500,9.152.573.293.496.140,45.0,13.95,96.7,0.0
d_os_20_10_1_12_10_9_20_3,d_os,20,12,10,9,20,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,46.188.162.355.061.800,7.959.540.588.765.460,5.0,14.35,102.3,0.9
d_os_20_10_1_12_10_9_25_3,d_os,20,12,10,9,25,3,uniform,10,0,uniform,1,0,400,1,1.5,0.5,4.486.316.578.149.990,7.628.291.445.374.980,0.0,14.35,102.4,0.7
